0	-10	1	10	-1	
1	-9.995	1	9.995	-1	
2	-9.99	1	9.99	-1	
3	-9.985	1	9.985	-1	
4	-9.98	1	9.98	-1	
5	-9.975	1	9.975	-1	
6	-9.97	1	9.97	-1	
7	-9.965	1	9.965	-1	
8	-9.96	1	9.96	-1	
9	-9.955	1	9.955	-1	
10	-9.95	1	9.95	-1	
11	-9.945	1	9.945	-1	
12	-9.94	1	9.94	-1	
13	-9.935	1	9.935	-1	
14	-9.93	1	9.93	-1	
15	-9.925	1	9.925	-1	
16	-9.92	1	9.92	-1	
17	-9.915	1	9.915	-1	
18	-9.91	1	9.91	-1	
19	-9.905	1	9.905	-1	
20	-9.9	1	9.9	-1	
21	-9.895	1	9.895	-1	
22	-9.89	1	9.89	-1	
23	-9.885	1	9.885	-1	
24	-9.88	1	9.88	-1	
25	-9.875	1	9.875	-1	
26	-9.87	1	9.87	-1	
27	-9.865	1	9.865	-1	
28	-9.86	1	9.86	-1	
29	-9.855	1	9.855	-1	
30	-9.85	1	9.85	-1	
31	-9.845	1	9.845	-1	
32	-9.84	1	9.84	-1	
33	-9.835	1	9.835	-1	
34	-9.83	1	9.83	-1	
35	-9.825	1	9.825	-1	
36	-9.82	1	9.82	-1	
37	-9.815	1	9.815	-1	
38	-9.81	1	9.81	-1	
39	-9.805	1	9.805	-1	
40	-9.8	1	9.8	-1	
41	-9.795	1	9.795	-1	
42	-9.79	1	9.79	-1	
43	-9.785	1	9.785	-1	
44	-9.78	1	9.78	-1	
45	-9.775	1	9.775	-1	
46	-9.77	1	9.77	-1	
47	-9.765	1	9.765	-1	
48	-9.76	1	9.76	-1	
49	-9.755	1	9.755	-1	
50	-9.75	1	9.75	-1	
51	-9.745	1	9.745	-1	
52	-9.74	1	9.74	-1	
53	-9.735	1	9.735	-1	
54	-9.73	1	9.73	-1	
55	-9.725	1	9.725	-1	
56	-9.72	1	9.72	-1	
57	-9.715	1	9.715	-1	
58	-9.71	1	9.71	-1	
59	-9.705	1	9.705	-1	
60	-9.7	1	9.7	-1	
61	-9.695	1	9.695	-1	
62	-9.69	1	9.69	-1	
63	-9.685	1	9.685	-1	
64	-9.68	1	9.68	-1	
65	-9.675	1	9.675	-1	
66	-9.67	1	9.67	-1	
67	-9.665	1	9.665	-1	
68	-9.66	1	9.66	-1	
69	-9.655	1	9.655	-1	
70	-9.65	1	9.65	-1	
71	-9.645	1	9.645	-1	
72	-9.64	1	9.64	-1	
73	-9.635	1	9.635	-1	
74	-9.63	1	9.63	-1	
75	-9.625	1	9.625	-1	
76	-9.62	1	9.62	-1	
77	-9.615	1	9.615	-1	
78	-9.61	1	9.61	-1	
79	-9.605	1	9.605	-1	
80	-9.6	1	9.6	-1	
81	-9.595	1	9.595	-1	
82	-9.59	1	9.59	-1	
83	-9.585	1	9.585	-1	
84	-9.58	1	9.58	-1	
85	-9.575	1	9.575	-1	
86	-9.57	1	9.57	-1	
87	-9.565	1	9.565	-1	
88	-9.56	1	9.56	-1	
89	-9.555	1	9.555	-1	
90	-9.55	1	9.55	-1	
91	-9.545	1	9.545	-1	
92	-9.54	1	9.54	-1	
93	-9.535	1	9.535	-1	
94	-9.53	1	9.53	-1	
95	-9.525	1	9.525	-1	
96	-9.52	1	9.52	-1	
97	-9.515	1	9.515	-1	
98	-9.51	1	9.51	-1	
99	-9.505	1	9.505	-1	
100	-9.5	1	9.5	-1	
101	-9.495	1	9.495	-1	
102	-9.49	1	9.49	-1	
103	-9.485	1	9.485	-1	
104	-9.48	1	9.48	-1	
105	-9.475	1	9.475	-1	
106	-9.47	1	9.47	-1	
107	-9.465	1	9.465	-1	
108	-9.46	1	9.46	-1	
109	-9.455	1	9.455	-1	
110	-9.45	1	9.45	-1	
111	-9.445	1	9.445	-1	
112	-9.44	1	9.44	-1	
113	-9.435	1	9.435	-1	
114	-9.43	1	9.43	-1	
